,Sex,Single Year of Age,Administrative Counties,VALUE
6946,Female,12 years,Dublin City Council,3048
6947,Female,12 years,Dún Laoghaire Rathdown County Council,1430
6948,Female,12 years,Fingal County Council,2779
6949,Female,12 years,South Dublin County Council,2396
6950,Female,12 years,Kildare County Council,1984
6951,Female,12 years,Kilkenny County Council,775
6952,Female,12 years,Laois County Council,807
6953,Female,12 years,Longford County Council,350
6954,Female,12 years,Louth County Council,1113
6955,Female,12 years,Meath County Council,1912
6956,Female,12 years,Offaly County Council,619
6957,Female,12 years,Westmeath County Council,714
6958,Female,12 years,Wexford County Council,1228
6959,Female,12 years,Wicklow County Council,1264
6960,Female,12 years,Clare County Council,999
6961,Female,12 years,Cork City Council,1334
6962,Female,12 years,Cork County Council,2829
6963,Female,12 years,Kerry County Council,1090
6964,Female,12 years,Limerick City & County Council,1362
6965,Female,12 years,Tipperary County Council,1225
6966,Female,12 years,Waterford City & County Council,949
6967,Female,12 years,Galway City Council,438
6968,Female,12 years,Galway County Council,1413
6969,Female,12 years,Leitrim County Council,276
6970,Female,12 years,Mayo  County Council,962
6971,Female,12 years,Roscommon County Council,539
6972,Female,12 years,Sligo County Council,506
6973,Female,12 years,Cavan County Council,672
6974,Female,12 years,Donegal County Council,1292
6975,Female,12 years,Monaghan County Council,525
6976,Female,13 years,Ireland,36782
6977,Female,13 years,Carlow County Council,459
6978,Female,13 years,Dublin City Council,2975
6979,Female,13 years,Dún Laoghaire Rathdown County Council,1432
6980,Female,13 years,Fingal County Council,2655
6981,Female,13 years,South Dublin County Council,2304
6982,Female,13 years,Kildare County Council,1909
6983,Female,13 years,Kilkenny County Council,769
6984,Female,13 years,Laois County Council,745
6985,Female,13 years,Longford County Council,378
6986,Female,13 years,Louth County Council,1113
6987,Female,13 years,Meath County Council,1888
6988,Female,13 years,Offaly County Council,662
6989,Female,13 years,Westmeath County Council,683
6990,Female,13 years,Wexford County Council,1283
6991,Female,13 years,Wicklow County Council,1153
6992,Female,13 years,Clare County Council,914
6993,Female,13 years,Cork City Council,1302
6994,Female,13 years,Cork County Council,2897
6995,Female,13 years,Kerry County Council,1087
6996,Female,13 years,Limerick City & County Council,1435
6997,Female,13 years,Tipperary County Council,1246
6998,Female,13 years,Waterford City & County Council,985
6999,Female,13 years,Galway City Council,468
7000,Female,13 years,Galway County Council,1471
7001,Female,13 years,Leitrim County Council,238
7002,Female,13 years,Mayo  County Council,919
7003,Female,13 years,Roscommon County Council,488
7004,Female,13 years,Sligo County Council,503
7005,Female,13 years,Cavan County Council,634
7006,Female,13 years,Donegal County Council,1255
7007,Female,13 years,Monaghan County Council,532
7008,Female,14 years,Ireland,36080
7009,Female,14 years,Carlow County Council,465
7010,Female,14 years,Dublin City Council,2942
7011,Female,14 years,Dún Laoghaire Rathdown County Council,1464
7012,Female,14 years,Fingal County Council,2584
7013,Female,14 years,South Dublin County Council,2222
7014,Female,14 years,Kildare County Council,1907
7015,Female,14 years,Kilkenny County Council,692
7016,Female,14 years,Laois County Council,763
7017,Female,14 years,Longford County Council,352
7018,Female,14 years,Louth County Council,1072
7019,Female,14 years,Meath County Council,1853
7020,Female,14 years,Offaly County Council,589
7021,Female,14 years,Westmeath County Council,689
7022,Female,14 years,Wexford County Council,1200
7023,Female,14 years,Wicklow County Council,1238
7024,Female,14 years,Clare County Council,894
7025,Female,14 years,Cork City Council,1270
7026,Female,14 years,Cork County Council,2779
7027,Female,14 years,Kerry County Council,1098
7028,Female,14 years,Limerick City & County Council,1445
7029,Female,14 years,Tipperary County Council,1259
7030,Female,14 years,Waterford City & County Council,896
7031,Female,14 years,Galway City Council,425
7032,Female,14 years,Galway County Council,1506
7033,Female,14 years,Leitrim County Council,230
7034,Female,14 years,Mayo  County Council,942
7035,Female,14 years,Roscommon County Council,473
7036,Female,14 years,Sligo County Council,467
7037,Female,14 years,Cavan County Council,621
7038,Female,14 years,Donegal County Council,1281
7039,Female,14 years,Monaghan County Council,462
7040,Female,15 years,Ireland,34492
7041,Female,15 years,Carlow County Council,411
7042,Female,15 years,Dublin City Council,2729
7043,Female,15 years,Dún Laoghaire Rathdown County Council,1383
7044,Female,15 years,Fingal County Council,2420
7045,Female,15 years,South Dublin County Council,2126
7046,Female,15 years,Kildare County Council,1817
7047,Female,15 years,Kilkenny County Council,760
7048,Female,15 years,Laois County Council,727
7049,Female,15 years,Longford County Council,358
7050,Female,15 years,Louth County Council,1030
7051,Female,15 years,Meath County Council,1729
7052,Female,15 years,Offaly County Council,597
7053,Female,15 years,Westmeath County Council,659
7054,Female,15 years,Wexford County Council,1170
7055,Female,15 years,Wicklow County Council,1125
7056,Female,15 years,Clare County Council,907
7057,Female,15 years,Cork City Council,1228
7058,Female,15 years,Cork County Council,2629
7059,Female,15 years,Kerry County Council,1036
7060,Female,15 years,Limerick City & County Council,1335
7061,Female,15 years,Tipperary County Council,1178
7062,Female,15 years,Waterford City & County Council,872
7063,Female,15 years,Galway City Council,433
7064,Female,15 years,Galway County Council,1394
7065,Female,15 years,Leitrim County Council,263
7066,Female,15 years,Mayo  County Council,911
7067,Female,15 years,Roscommon County Council,491
7068,Female,15 years,Sligo County Council,442
7069,Female,15 years,Cavan County Council,643
7070,Female,15 years,Donegal County Council,1202
7071,Female,15 years,Monaghan County Council,487
7072,Female,16 years,Ireland,33168
7073,Female,16 years,Carlow County Council,442
7074,Female,16 years,Dublin City Council,2658
7075,Female,16 years,Dún Laoghaire Rathdown County Council,1352
7076,Female,16 years,Fingal County Council,2238
7077,Female,16 years,South Dublin County Council,1978
7078,Female,16 years,Kildare County Council,1713
7079,Female,16 years,Kilkenny County Council,673
7080,Female,16 years,Laois County Council,633
7081,Female,16 years,Longford County Council,327
7082,Female,16 years,Louth County Council,1019
7083,Female,16 years,Meath County Council,1570
7084,Female,16 years,Offaly County Council,566
7085,Female,16 years,Westmeath County Council,635
7086,Female,16 years,Wexford County Council,1108
7087,Female,16 years,Wicklow County Council,1054
7088,Female,16 years,Clare County Council,947
7089,Female,16 years,Cork City Council,1202
7090,Female,16 years,Cork County Council,2562
7091,Female,16 years,Kerry County Council,1019
7092,Female,16 years,Limerick City & County Council,1291
7093,Female,16 years,Tipperary County Council,1152
7094,Female,16 years,Waterford City & County Council,866
7095,Female,16 years,Galway City Council,443
7096,Female,16 years,Galway County Council,1444
7097,Female,16 years,Leitrim County Council,229
7098,Female,16 years,Mayo  County Council,933
7099,Female,16 years,Roscommon County Council,511
7100,Female,16 years,Sligo County Council,455
7101,Female,16 years,Cavan County Council,550
7102,Female,16 years,Donegal County Council,1149
7103,Female,16 years,Monaghan County Council,449
7104,Female,17 years,Ireland,33045
7105,Female,17 years,Carlow County Council,414
7106,Female,17 years,Dublin City Council,2734
7107,Female,17 years,Dún Laoghaire Rathdown County Council,1398
7108,Female,17 years,Fingal County Council,2195
7109,Female,17 years,South Dublin County Council,2034
7110,Female,17 years,Kildare County Council,1734
7111,Female,17 years,Kilkenny County Council,739
7112,Female,17 years,Laois County Council,718
7113,Female,17 years,Longford County Council,314
7114,Female,17 years,Louth County Council,1009
7115,Female,17 years,Meath County Council,1582
7116,Female,17 years,Offaly County Council,524
7117,Female,17 years,Westmeath County Council,643
7118,Female,17 years,Wexford County Council,1062
7119,Female,17 years,Wicklow County Council,1064
7120,Female,17 years,Clare County Council,890
7121,Female,17 years,Cork City Council,1222
7122,Female,17 years,Cork County Council,2431
7123,Female,17 years,Kerry County Council,1046
7124,Female,17 years,Limerick City & County Council,1224
7125,Female,17 years,Tipperary County Council,1216
7126,Female,17 years,Waterford City & County Council,862
7127,Female,17 years,Galway City Council,416
7128,Female,17 years,Galway County Council,1329
7129,Female,17 years,Leitrim County Council,226
7130,Female,17 years,Mayo  County Council,885
7131,Female,17 years,Roscommon County Council,482
7132,Female,17 years,Sligo County Council,452
7133,Female,17 years,Cavan County Council,590
7134,Female,17 years,Donegal County Council,1130
7135,Female,17 years,Monaghan County Council,480
7136,Female,18 years,Ireland,32852
7137,Female,18 years,Carlow County Council,466
7138,Female,18 years,Dublin City Council,3291
7139,Female,18 years,Dún Laoghaire Rathdown County Council,1511
7140,Female,18 years,Fingal County Council,2252
7141,Female,18 years,South Dublin County Council,1949
7142,Female,18 years,Kildare County Council,1708
7143,Female,18 years,Kilkenny County Council,699
7144,Female,18 years,Laois County Council,634
7145,Female,18 years,Longford County Council,272
7146,Female,18 years,Louth County Council,953
7147,Female,18 years,Meath County Council,1496
7148,Female,18 years,Offaly County Council,584
7149,Female,18 years,Westmeath County Council,623
7150,Female,18 years,Wexford County Council,1084
7151,Female,18 years,Wicklow County Council,1015
7152,Female,18 years,Clare County Council,830
7153,Female,18 years,Cork City Council,1288
7154,Female,18 years,Cork County Council,2343
7155,Female,18 years,Kerry County Council,943
7156,Female,18 years,Limerick City & County Council,1305
7157,Female,18 years,Tipperary County Council,1046
7158,Female,18 years,Waterford City & County Council,817
7159,Female,18 years,Galway City Council,521
7160,Female,18 years,Galway County Council,1214
7161,Female,18 years,Leitrim County Council,220
7162,Female,18 years,Mayo  County Council,876
7163,Female,18 years,Roscommon County Council,412
7164,Female,18 years,Sligo County Council,462
7165,Female,18 years,Cavan County Council,533
7166,Female,18 years,Donegal County Council,1110
7167,Female,18 years,Monaghan County Council,395
7168,Female,19 years,Ireland,31729
7169,Female,19 years,Carlow County Council,381
7170,Female,19 years,Dublin City Council,3676
7171,Female,19 years,Dún Laoghaire Rathdown County Council,1659
7172,Female,19 years,Fingal County Council,2191
7173,Female,19 years,South Dublin County Council,1911
7174,Female,19 years,Kildare County Council,1746
7175,Female,19 years,Kilkenny County Council,563
7176,Female,19 years,Laois County Council,537
7177,Female,19 years,Longford County Council,276
7178,Female,19 years,Louth County Council,876
7179,Female,19 years,Meath County Council,1385
7180,Female,19 years,Offaly County Council,473
7181,Female,19 years,Westmeath County Council,532
7182,Female,19 years,Wexford County Council,872
7183,Female,19 years,Wicklow County Council,900
7184,Female,19 years,Clare County Council,821
7185,Female,19 years,Cork City Council,1731
7186,Female,19 years,Cork County Council,1971
7187,Female,19 years,Kerry County Council,798
7188,Female,19 years,Limerick City & County Council,1422
7189,Female,19 years,Tipperary County Council,846
7190,Female,19 years,Waterford City & County Council,767
7191,Female,19 years,Galway City Council,1006
7192,Female,19 years,Galway County Council,1039
7193,Female,19 years,Leitrim County Council,167
7194,Female,19 years,Mayo  County Council,684
7195,Female,19 years,Roscommon County Council,355
7196,Female,19 years,Sligo County Council,503
7197,Female,19 years,Cavan County Council,436
7198,Female,19 years,Donegal County Council,883
7199,Female,19 years,Monaghan County Council,322
7200,Female,20 years,Ireland,31624
7201,Female,20 years,Carlow County Council,366
7202,Female,20 years,Dublin City Council,4326
7203,Female,20 years,Dún Laoghaire Rathdown County Council,1742
7204,Female,20 years,Fingal County Council,2073
7205,Female,20 years,South Dublin County Council,1796
7206,Female,20 years,Kildare County Council,1589
7207,Female,20 years,Kilkenny County Council,529
7208,Female,20 years,Laois County Council,510
7209,Female,20 years,Longford County Council,246
7210,Female,20 years,Louth County Council,880
7211,Female,20 years,Meath County Council,1276
7212,Female,20 years,Offaly County Council,487
7213,Female,20 years,Westmeath County Council,543
7214,Female,20 years,Wexford County Council,832
7215,Female,20 years,Wicklow County Council,808
7216,Female,20 years,Clare County Council,739
7217,Female,20 years,Cork City Council,1889
7218,Female,20 years,Cork County Council,1783
7219,Female,20 years,Kerry County Council,823
7220,Female,20 years,Limerick City & County Council,1504
7221,Female,20 years,Tipperary County Council,853
7222,Female,20 years,Waterford City & County Council,770
7223,Female,20 years,Galway City Council,1142
7224,Female,20 years,Galway County Council,974
7225,Female,20 years,Leitrim County Council,159
7226,Female,20 years,Mayo  County Council,658
7227,Female,20 years,Roscommon County Council,321
7228,Female,20 years,Sligo County Council,450
7229,Female,20 years,Cavan County Council,388
7230,Female,20 years,Donegal County Council,864
7231,Female,20 years,Monaghan County Council,304
7232,Female,21 years,Ireland,29890
7233,Female,21 years,Carlow County Council,381
7234,Female,21 years,Dublin City Council,4237
7235,Female,21 years,Dún Laoghaire Rathdown County Council,1605
7236,Female,21 years,Fingal County Council,1833
7237,Female,21 years,South Dublin County Council,1783
7238,Female,21 years,Kildare County Council,1463
7239,Female,21 years,Kilkenny County Council,471
7240,Female,21 years,Laois County Council,491
7241,Female,21 years,Longford County Council,233
7242,Female,21 years,Louth County Council,814
7243,Female,21 years,Meath County Council,1216
7244,Female,21 years,Offaly County Council,416
7245,Female,21 years,Westmeath County Council,525
7246,Female,21 years,Wexford County Council,781
7247,Female,21 years,Wicklow County Council,744
7248,Female,21 years,Clare County Council,697
7249,Female,21 years,Cork City Council,1851
7250,Female,21 years,Cork County Council,1700
7251,Female,21 years,Kerry County Council,762
7252,Female,21 years,Limerick City & County Council,1314
7253,Female,21 years,Tipperary County Council,816
7254,Female,21 years,Waterford City & County Council,709
7255,Female,21 years,Galway City Council,1161
7256,Female,21 years,Galway County Council,840
7257,Female,21 years,Leitrim County Council,131
7258,Female,21 years,Mayo  County Council,634
7259,Female,21 years,Roscommon County Council,345
7260,Female,21 years,Sligo County Council,409
7261,Female,21 years,Cavan County Council,390
7262,Female,21 years,Donegal County Council,821
7263,Female,21 years,Monaghan County Council,317
7264,Female,22 years,Ireland,30768
7265,Female,22 years,Carlow County Council,361
7266,Female,22 years,Dublin City Council,4719
7267,Female,22 years,Dún Laoghaire Rathdown County Council,1635
7268,Female,22 years,Fingal County Council,1844
7269,Female,22 years,South Dublin County Council,1851
7270,Female,22 years,Kildare County Council,1380
7271,Female,22 years,Kilkenny County Council,438
7272,Female,22 years,Laois County Council,477
7273,Female,22 years,Longford County Council,257
7274,Female,22 years,Louth County Council,866
7275,Female,22 years,Meath County Council,1116
7276,Female,22 years,Offaly County Council,413
7277,Female,22 years,Westmeath County Council,568
7278,Female,22 years,Wexford County Council,888
7279,Female,22 years,Wicklow County Council,789
7280,Female,22 years,Clare County Council,728
7281,Female,22 years,Cork City Council,1835
7282,Female,22 years,Cork County Council,1720
7283,Female,22 years,Kerry County Council,766
7284,Female,22 years,Limerick City & County Council,1473
7285,Female,22 years,Tipperary County Council,873
7286,Female,22 years,Waterford City & County Council,720
7287,Female,22 years,Galway City Council,1069
7288,Female,22 years,Galway County Council,848
7289,Female,22 years,Leitrim County Council,152
7290,Female,22 years,Mayo  County Council,670
7291,Female,22 years,Roscommon County Council,318
7292,Female,22 years,Sligo County Council,404
7293,Female,22 years,Cavan County Council,414
7294,Female,22 years,Donegal County Council,861
7295,Female,22 years,Monaghan County Council,315
7296,Female,23 years,Ireland,30051
7297,Female,23 years,Carlow County Council,344
7298,Female,23 years,Dublin City Council,5142
7299,Female,23 years,Dún Laoghaire Rathdown County Council,1681
7300,Female,23 years,Fingal County Council,1807
7301,Female,23 years,South Dublin County Council,1884
7302,Female,23 years,Kildare County Council,1391
7303,Female,23 years,Kilkenny County Council,471
7304,Female,23 years,Laois County Council,458
7305,Female,23 years,Longford County Council,232
7306,Female,23 years,Louth County Council,767
7307,Female,23 years,Meath County Council,1063
7308,Female,23 years,Offaly County Council,441
7309,Female,23 years,Westmeath County Council,468
7310,Female,23 years,Wexford County Council,868
7311,Female,23 years,Wicklow County Council,724
7312,Female,23 years,Clare County Council,649
7313,Female,23 years,Cork City Council,1779
7314,Female,23 years,Cork County Council,1603
7315,Female,23 years,Kerry County Council,763
7316,Female,23 years,Limerick City & County Council,1246
7317,Female,23 years,Tipperary County Council,830
7318,Female,23 years,Waterford City & County Council,722
7319,Female,23 years,Galway City Council,927
7320,Female,23 years,Galway County Council,819
7321,Female,23 years,Leitrim County Council,152
7322,Female,23 years,Mayo  County Council,623
7323,Female,23 years,Roscommon County Council,307
7324,Female,23 years,Sligo County Council,387
7325,Female,23 years,Cavan County Council,439
7326,Female,23 years,Donegal County Council,762
7327,Female,23 years,Monaghan County Council,302
7328,Female,24 years,Ireland,29364
7329,Female,24 years,Carlow County Council,329
7330,Female,24 years,Dublin City Council,5455
7331,Female,24 years,Dún Laoghaire Rathdown County Council,1661
7332,Female,24 years,Fingal County Council,1774
7333,Female,24 years,South Dublin County Council,1795
7334,Female,24 years,Kildare County Council,1335
7335,Female,24 years,Kilkenny County Council,510
7336,Female,24 years,Laois County Council,434
7337,Female,24 years,Longford County Council,207
7338,Female,24 years,Louth County Council,732
7339,Female,24 years,Meath County Council,1083
7340,Female,24 years,Offaly County Council,450
7341,Female,24 years,Westmeath County Council,510
7342,Female,24 years,Wexford County Council,758
7343,Female,24 years,Wicklow County Council,683
7344,Female,24 years,Clare County Council,606
7345,Female,24 years,Cork City Council,1730
7346,Female,24 years,Cork County Council,1559
7347,Female,24 years,Kerry County Council,732
7348,Female,24 years,Limerick City & County Council,1190
7349,Female,24 years,Tipperary County Council,867
7350,Female,24 years,Waterford City & County Council,638
7351,Female,24 years,Galway City Council,872
7352,Female,24 years,Galway County Council,752
7353,Female,24 years,Leitrim County Council,125
7354,Female,24 years,Mayo  County Council,515
7355,Female,24 years,Roscommon County Council,276
7356,Female,24 years,Sligo County Council,364
7357,Female,24 years,Cavan County Council,398
7358,Female,24 years,Donegal County Council,736
7359,Female,24 years,Monaghan County Council,288
7360,Female,25 years,Ireland,29294
7361,Female,25 years,Carlow County Council,295
7362,Female,25 years,Dublin City Council,5667
7363,Female,25 years,Dún Laoghaire Rathdown County Council,1578
7364,Female,25 years,Fingal County Council,1796
7365,Female,25 years,South Dublin County Council,1873
7366,Female,25 years,Kildare County Council,1307
7367,Female,25 years,Kilkenny County Council,463
7368,Female,25 years,Laois County Council,414
7369,Female,25 years,Longford County Council,231
7370,Female,25 years,Louth County Council,665
7371,Female,25 years,Meath County Council,969
7372,Female,25 years,Offaly County Council,430
7373,Female,25 years,Westmeath County Council,524
7374,Female,25 years,Wexford County Council,744
7375,Female,25 years,Wicklow County Council,658
7376,Female,25 years,Clare County Council,631
7377,Female,25 years,Cork City Council,1733
7378,Female,25 years,Cork County Council,1502
7379,Female,25 years,Kerry County Council,725
7380,Female,25 years,Limerick City & County Council,1280
7381,Female,25 years,Tipperary County Council,778
7382,Female,25 years,Waterford City & County Council,613
7383,Female,25 years,Galway City Council,863
7384,Female,25 years,Galway County Council,818
7385,Female,25 years,Leitrim County Council,144
7386,Female,25 years,Mayo  County Council,538
7387,Female,25 years,Roscommon County Council,300
7388,Female,25 years,Sligo County Council,351
7389,Female,25 years,Cavan County Council,403
7390,Female,25 years,Donegal County Council,719
7391,Female,25 years,Monaghan County Council,282
7392,Female,26 years,Ireland,28864
7393,Female,26 years,Carlow County Council,333
7394,Female,26 years,Dublin City Council,5932
7395,Female,26 years,Dún Laoghaire Rathdown County Council,1528
7396,Female,26 years,Fingal County Council,1740
7397,Female,26 years,South Dublin County Council,1681
7398,Female,26 years,Kildare County Council,1208
7399,Female,26 years,Kilkenny County Council,494
7400,Female,26 years,Laois County Council,433
7401,Female,26 years,Longford County Council,237
7402,Female,26 years,Louth County Council,663
7403,Female,26 years,Meath County Council,999
7404,Female,26 years,Offaly County Council,381
7405,Female,26 years,Westmeath County Council,511
7406,Female,26 years,Wexford County Council,777
7407,Female,26 years,Wicklow County Council,713
7408,Female,26 years,Clare County Council,593
7409,Female,26 years,Cork City Council,1633
7410,Female,26 years,Cork County Council,1562
7411,Female,26 years,Kerry County Council,657
7412,Female,26 years,Limerick City & County Council,1293
7413,Female,26 years,Tipperary County Council,762
7414,Female,26 years,Waterford City & County Council,623
7415,Female,26 years,Galway City Council,751
7416,Female,26 years,Galway County Council,707
7417,Female,26 years,Leitrim County Council,126
7418,Female,26 years,Mayo  County Council,549
7419,Female,26 years,Roscommon County Council,264
7420,Female,26 years,Sligo County Council,313
7421,Female,26 years,Cavan County Council,375
7422,Female,26 years,Donegal County Council,735
7423,Female,26 years,Monaghan County Council,291
7424,Female,27 years,Ireland,29528
7425,Female,27 years,Carlow County Council,309
7426,Female,27 years,Dublin City Council,5976
7427,Female,27 years,Dún Laoghaire Rathdown County Council,1518
7428,Female,27 years,Fingal County Council,1832
7429,Female,27 years,South Dublin County Council,1793
7430,Female,27 years,Kildare County Council,1291
7431,Female,27 years,Kilkenny County Council,502
7432,Female,27 years,Laois County Council,415
7433,Female,27 years,Longford County Council,232
7434,Female,27 years,Louth County Council,765
7435,Female,27 years,Meath County Council,1045
7436,Female,27 years,Offaly County Council,405
7437,Female,27 years,Westmeath County Council,524
7438,Female,27 years,Wexford County Council,839
7439,Female,27 years,Wicklow County Council,718
7440,Female,27 years,Clare County Council,587
7441,Female,27 years,Cork City Council,1759
7442,Female,27 years,Cork County Council,1519
7443,Female,27 years,Kerry County Council,698
7444,Female,27 years,Limerick City & County Council,1238
7445,Female,27 years,Tipperary County Council,772
7446,Female,27 years,Waterford City & County Council,665
7447,Female,27 years,Galway City Council,705
7448,Female,27 years,Galway County Council,733
7449,Female,27 years,Leitrim County Council,138
7450,Female,27 years,Mayo  County Council,559
7451,Female,27 years,Roscommon County Council,293
7452,Female,27 years,Sligo County Council,294
7453,Female,27 years,Cavan County Council,370
7454,Female,27 years,Donegal County Council,747
7455,Female,27 years,Monaghan County Council,287
7456,Female,28 years,Ireland,29788
7457,Female,28 years,Carlow County Council,329
7458,Female,28 years,Dublin City Council,6089
7459,Female,28 years,Dún Laoghaire Rathdown County Council,1457
7460,Female,28 years,Fingal County Council,1825
7461,Female,28 years,South Dublin County Council,1805
7462,Female,28 years,Kildare County Council,1332
7463,Female,28 years,Kilkenny County Council,536
7464,Female,28 years,Laois County Council,430
7465,Female,28 years,Longford County Council,218
7466,Female,28 years,Louth County Council,759
7467,Female,28 years,Meath County Council,1075
7468,Female,28 years,Offaly County Council,425
7469,Female,28 years,Westmeath County Council,501
7470,Female,28 years,Wexford County Council,797
7471,Female,28 years,Wicklow County Council,736
7472,Female,28 years,Clare County Council,607
7473,Female,28 years,Cork City Council,1749
7474,Female,28 years,Cork County Council,1552
7475,Female,28 years,Kerry County Council,679
7476,Female,28 years,Limerick City & County Council,1220
7477,Female,28 years,Tipperary County Council,767
7478,Female,28 years,Waterford City & County Council,655
7479,Female,28 years,Galway City Council,754
7480,Female,28 years,Galway County Council,770
7481,Female,28 years,Leitrim County Council,148
7482,Female,28 years,Mayo  County Council,582
7483,Female,28 years,Roscommon County Council,283
7484,Female,28 years,Sligo County Council,305
7485,Female,28 years,Cavan County Council,363
7486,Female,28 years,Donegal County Council,761
7487,Female,28 years,Monaghan County Council,279
7488,Female,29 years,Ireland,30936
7489,Female,29 years,Carlow County Council,360
7490,Female,29 years,Dublin City Council,6030
7491,Female,29 years,Dún Laoghaire Rathdown County Council,1466
7492,Female,29 years,Fingal County Council,1973
7493,Female,29 years,South Dublin County Council,1850
7494,Female,29 years,Kildare County Council,1386
7495,Female,29 years,Kilkenny County Council,559
7496,Female,29 years,Laois County Council,453
7497,Female,29 years,Longford County Council,256
7498,Female,29 years,Louth County Council,797
7499,Female,29 years,Meath County Council,1078
7500,Female,29 years,Offaly County Council,431
7501,Female,29 years,Westmeath County Council,540
7502,Female,29 years,Wexford County Council,869
7503,Female,29 years,Wicklow County Council,803
7504,Female,29 years,Clare County Council,583
7505,Female,29 years,Cork City Council,1750
7506,Female,29 years,Cork County Council,1639
7507,Female,29 years,Kerry County Council,737
7508,Female,29 years,Limerick City & County Council,1260
7509,Female,29 years,Tipperary County Council,797
7510,Female,29 years,Waterford City & County Council,698
7511,Female,29 years,Galway City Council,731
7512,Female,29 years,Galway County Council,865
7513,Female,29 years,Leitrim County Council,145
7514,Female,29 years,Mayo  County Council,658
7515,Female,29 years,Roscommon County Council,315
7516,Female,29 years,Sligo County Council,380
7517,Female,29 years,Cavan County Council,401
7518,Female,29 years,Donegal County Council,782
7519,Female,29 years,Monaghan County Council,344
7520,Female,30 years,Ireland,32841
7521,Female,30 years,Carlow County Council,338
7522,Female,30 years,Dublin City Council,6178
7523,Female,30 years,Dún Laoghaire Rathdown County Council,1601
7524,Female,30 years,Fingal County Council,2088
7525,Female,30 years,South Dublin County Council,2002
7526,Female,30 years,Kildare County Council,1488
7527,Female,30 years,Kilkenny County Council,552
7528,Female,30 years,Laois County Council,517
7529,Female,30 years,Longford County Council,287
7530,Female,30 years,Louth County Council,801
7531,Female,30 years,Meath County Council,1256
7532,Female,30 years,Offaly County Council,493
7533,Female,30 years,Westmeath County Council,575
7534,Female,30 years,Wexford County Council,940
7535,Female,30 years,Wicklow County Council,837
7536,Female,30 years,Clare County Council,627
7537,Female,30 years,Cork City Council,1734
7538,Female,30 years,Cork County Council,1873
7539,Female,30 years,Kerry County Council,799
7540,Female,30 years,Limerick City & County Council,1265
7541,Female,30 years,Tipperary County Council,917
7542,Female,30 years,Waterford City & County Council,715
7543,Female,30 years,Galway City Council,725
7544,Female,30 years,Galway County Council,990
7545,Female,30 years,Leitrim County Council,172
7546,Female,30 years,Mayo  County Council,696
7547,Female,30 years,Roscommon County Council,360
7548,Female,30 years,Sligo County Council,334
7549,Female,30 years,Cavan County Council,425
7550,Female,30 years,Donegal County Council,906
7551,Female,30 years,Monaghan County Council,350
7552,Female,31 years,Ireland,33710
7553,Female,31 years,Carlow County Council,390
7554,Female,31 years,Dublin City Council,6079
7555,Female,31 years,Dún Laoghaire Rathdown County Council,1555
7556,Female,31 years,Fingal County Council,2180
7557,Female,31 years,South Dublin County Council,2065
7558,Female,31 years,Kildare County Council,1594
7559,Female,31 years,Kilkenny County Council,614
7560,Female,31 years,Laois County Council,512
7561,Female,31 years,Longford County Council,252
7562,Female,31 years,Louth County Council,880
7563,Female,31 years,Meath County Council,1331
7564,Female,31 years,Offaly County Council,482
7565,Female,31 years,Westmeath County Council,590
7566,Female,31 years,Wexford County Council,914
7567,Female,31 years,Wicklow County Council,890
7568,Female,31 years,Clare County Council,708
7569,Female,31 years,Cork City Council,1814
7570,Female,31 years,Cork County Council,1970
7571,Female,31 years,Kerry County Council,813
7572,Female,31 years,Limerick City & County Council,1317
7573,Female,31 years,Tipperary County Council,908
7574,Female,31 years,Waterford City & County Council,749
7575,Female,31 years,Galway City Council,705
7576,Female,31 years,Galway County Council,972
7577,Female,31 years,Leitrim County Council,211
7578,Female,31 years,Mayo  County Council,737
7579,Female,31 years,Roscommon County Council,385
7580,Female,31 years,Sligo County Council,361
7581,Female,31 years,Cavan County Council,457
7582,Female,31 years,Donegal County Council,892
7583,Female,31 years,Monaghan County Council,383
7584,Female,32 years,Ireland,34382
7585,Female,32 years,Carlow County Council,384
7586,Female,32 years,Dublin City Council,5964
7587,Female,32 years,Dún Laoghaire Rathdown County Council,1649
7588,Female,32 years,Fingal County Council,2240
7589,Female,32 years,South Dublin County Council,2161
7590,Female,32 years,Kildare County Council,1551
7591,Female,32 years,Kilkenny County Council,572
7592,Female,32 years,Laois County Council,530
7593,Female,32 years,Longford County Council,271
7594,Female,32 years,Louth County Council,873
7595,Female,32 years,Meath County Council,1427
7596,Female,32 years,Offaly County Council,476
7597,Female,32 years,Westmeath County Council,633
7598,Female,32 years,Wexford County Council,976
7599,Female,32 years,Wicklow County Council,875
7600,Female,32 years,Clare County Council,688
7601,Female,32 years,Cork City Council,1837
7602,Female,32 years,Cork County Council,2050
7603,Female,32 years,Kerry County Council,843
7604,Female,32 years,Limerick City & County Council,1356
7605,Female,32 years,Tipperary County Council,947
7606,Female,32 years,Waterford City & County Council,779
7607,Female,32 years,Galway City Council,699
7608,Female,32 years,Galway County Council,1047
7609,Female,32 years,Leitrim County Council,217
7610,Female,32 years,Mayo  County Council,763
7611,Female,32 years,Roscommon County Council,355
7612,Female,32 years,Sligo County Council,381
7613,Female,32 years,Cavan County Council,530
7614,Female,32 years,Donegal County Council,936
7615,Female,32 years,Monaghan County Council,372
7616,Female,33 years,Ireland,34489
7617,Female,33 years,Carlow County Council,384
7618,Female,33 years,Dublin City Council,5700
